Scheme
AAY (Antyodaya Food Scheme)
AB PM-JAY - Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (People's Health Scheme)
AMRUT
ASPIRE Scheme
ATMA Scheme (NMAET)
AWARENESS CAMPS
Aam Aadmi Bima Yojana(AABY)
Accreditation of Private NGO Hospitals for Institutional Delivery.
Adolescence Education Programme
Agnipath Scheme
Agriculture Infrastructure Fund (AIF)
Animal Welfare
Annapurna
Antyodaya Anna Yojana
Assistance for Skills and Entrepreneurial Development Programmes
Assistance to Disabled Persons for Purchase/ Fitting of Aids/ Appliances (ADIP)
Assistance to Voluntary Organizations working for the Welfare of OBCs (NGO Scheme)
Atal Bhujal Yojana
Atal Jal (Atal Groundwater Scheme)
Atal Mission for Rejuvenation and Urban Transformation -AMRUT
Atal Pension Yojana (APY)
"Atmosphere and Climate Research  Modelling, Observing Systems and Services (ACROSS)"
Attracting and Retaining Youth in Agriculture (ARYA) Project
Ayushman Bharat Health Infrastructure Mission (ABHIM)
Ayushman Bharat Yojana
Ayushman Sahakar Scheme
BGREI
Babu Jagjivan Ram Chhatrawas Yojana
Bank Credit Facilitation Scheme
Beti Bachao Beti Padhao Scheme
Bharat Net Project
Bicycle Distribution Scheme
Biju Atma Nijukti Yojana
Biju Gram Jyoti Yojana(BGJY)
Biju Kanya Ratna
Biju Saharanchala Vidyutikaran Yojana (BSVY)
Biju Setu Yojana (Rural Bridges)
Biju Sishu Surakshya Yojana
Biju Yuva Sasaktikaran Yojana/ Free Laptop to students passing +2
Bill Discounting Scheme
Bima Yojana for Handicrafts Artisans (Aam Admi Bima Yojana (AABY)
Blue Revolution: Integrated Development and Management of Fisheries
Bringing Green Revolution to Eastern India (BGREI) NMOOP
CSRI
Canal Lining & System Rehabilitation Programme
Central Road Fund ( CRF )
Central Sector Scheme for Promoting Pharmacovigilance of Ayush Drugs
"Central Sector Scheme for Promotion of Information, Education, and Communication (IEC) in AYUSH"
Central Sector Scheme for supporting Continuing Medical Education (CME) in AYUSH
Central Sector Scheme of Free Coaching for Students with Disabilities
"Central Sector Scheme on Research on disability related technology, products and issues"
"Centrally Sponsored Scheme for implementation of the Protection of Civil Rights Act, 1955 and the Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Act, 1989"
Centrally Sponsored Scheme of Assistance to Scheduled Castes Development Corporations (SCDCs)
Centrally Sponsored Scheme of Hostels for ST boys and ST Girls
"Certiied seed production of oilseeds, pulses, fodder and green manure crops through Seed Village Programme under NMAET"
Champion Services Sector Scheme (CSSS)
City Compost Scheme
Clean Energy Research Initiative (CERI)
Clean India Mission
Climate Resilience Building Among Farmers Through Crop Residue Management
Cognitive Science Research Initiative
Comprehensive Handloom Cluster Development Scheme
Comprehensive Handloom Development Scheme
Concessional credit through National Minorities Development and Finance Corporation (NMDFC)
Constituency-Wise Allotment (CWA)
Construction of Hostels for OBC Boys and Girls
"Construction of bridge, canal and culverts by Private person"
Contracting out Primary Health Centre (N)
Credit Enhancement Guarantee Scheme for the Scheduled Castes (SCs)
Credit Guarantee Fund Scheme for Micro and Small Enterprises
